iter	Passed	Remaining
0	5	2796
1	10	2701
2	22	3714
3	27	3440
4	35	3554
5	40	3369
6	45	3237
7	116	7174
8	122	6676
9	127	6263
10	133	5918
11	137	5602
12	144	5402
13	149	5205
14	154	4993
15	159	4818
16	195	5546
17	199	5337
18	205	5214
19	215	5176
20	221	5060
21	230	5006
22	236	4914
23	245	4874
24	249	4737
25	254	4645
26	259	4538
27	265	4470
28	270	4392
29	277	4342
30	282	4271
31	287	4199
32	291	4132
33	297	4081
34	302	4017
35	309	3991
36	312	3914
37	315	3837
38	319	3781
39	323	3725
40	327	3665
41	331	3615
42	335	3567
43	340	3527
44	347	3516
45	352	3482
46	356	3439
47	364	3428
48	369	3396
49	374	3372
50	380	3347
51	385	3319
52	453	3820
53	460	3807
54	466	3775
55	477	3787
56	547	4255
57	563	4297
58	569	4258
59	642	4710
60	653	4699
61	663	4688
62	671	4660
63	678	4623
64	719	4814
65	725	4767
66	793	5129
67	810	5150
68	849	5303
69	920	5656
70	928	5611
71	975	5797
72	1055	6172
73	1063	6120
74	1151	6525
75	1195	6671
76	1274	7002
77	1350	7308
78	1433	7639
79	1515	7954
80	1594	8246
81	1675	8542
82	1743	8758
83	1811	8973
84	1882	9188
85	1948	9378
86	2012	9551
87	2080	9739
88	2151	9934
89	2220	10116
90	2226	10005
91	2294	10174
92	2365	10354
93	2433	10512
94	2502	10669
95	2574	10836
96	2591	10767
97	2657	10901
98	2723	11029
99	2789	11157
100	2857	11286
101	2925	11414
102	3009	11598
103	3086	11751
104	3169	11922
105	3256	12103
106	3325	12213
107	3391	12309
108	3460	12413
109	3537	12541
110	3603	12629
111	3672	12722
112	3742	12817
113	3810	12902
114	3880	12990
115	3953	13087
116	4022	13168
117	4091	13243
118	4100	13129
119	4167	13197
120	4234	13264
121	4306	13342
122	4380	13426
123	4387	13305
124	4455	13367
125	4525	13432
126	4598	13506
127	4668	13568
128	4735	13620
129	4804	13674
130	4874	13730
131	4949	13799
132	5024	13864
133	5091	13906
134	5173	13987
135	5243	14033
136	5311	14072
137	5380	14114
138	5419	14075
139	5493	14125
140	5562	14162
141	5635	14208
142	5707	14249
143	5777	14282
144	5851	14326
145	5922	14360
146	5988	14380
147	6058	14408
148	6130	14440
149	6197	14461
150	6263	14476
151	6332	14498
152	6365	14437
153	6432	14452
154	6506	14482
155	6577	14503
156	6644	14516
157	6712	14529
